Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /ai/chat/consumer,216,38,18000.0,19391.890196703396,5310.792386007961,30012.281723000342,2380.7175925925926,2.3484810186233083,0.4131586977207672,18000,26000,28000,29000,30000,30000,30000,30000,30000,30000,30000
POST,POST /ai/chat/seller,84,59,30000.0,27837.67536446561,13884.776014980162,30119.366455008276,1602.5119047619048,0.9132981739090643,0.6414832411980332,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,300,97,24000.0,21756.71004367682,5310.792386007961,30119.366455008276,2162.82,3.2617791925323725,1.0546419389188004,24000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
