Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,605,0,4,4.401002122687699,3.0585339991375804,34.12007700535469,5657.0,6.798332289725547,0.0,4,4,4,4,5,5,23,25,34,34,34
GET,GET /api/popups,328,0,46,59.090885226263396,33.26794400345534,447.8006249992177,249460.0,3.6857074231900486,0.0,46,53,58,62,88,120,250,290,450,450,450
GET,GET /api/popups/{id},219,219,14,16.848643096541288,10.949761985102668,90.03463899716735,109.0,2.4608839197518924,2.4608839197518924,14,14,15,16,25,38,49,57,90,90,90
GET,GET /api/zones,67,0,17,22.32856779018723,12.439106008969247,74.89391000126489,41522.0,0.7528731626638209,0.0,17,19,21,23,50,52,72,75,75,75,75
POST,POST /ai/chat/consumer,76,0,9400.0,8977.053519959123,4750.915841985261,12753.120099980151,2694.5394736842104,0.8540053785440357,0.0,9400,11000,11000,11000,12000,12000,13000,13000,13000,13000,13000
POST,POST /ai/chat/seller,33,0,17000.0,17428.487012272166,13769.62528200238,24671.525368990842,3223.4848484848485,0.37081812489412075,0.0,17000,18000,18000,19000,22000,23000,25000,25000,25000,25000,25000
,Aggregated,1328,219,13,967.3391735243979,3.0585339991375804,24671.525368990842,66537.92921686747,14.922620298769464,2.4608839197518924,13,36,43,48,100,9900,16000,17000,23000,25000,25000
