Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,2544,0,4,7.12735778171415,2.94201701763086,187.31341502279975,5657.0,21.314893891821537,0.0,4,4,5,5,12,23,50,57,110,190,190
GET,GET /api/popups,1619,0,46,53.53370389554229,31.474921997869387,207.29427199694328,249460.0,13.564785067161583,0.0,46,52,57,61,78,100,140,160,210,210,210
GET,GET /api/zones,423,0,16,19.966208794177344,10.863809002330527,123.39570099720731,41522.0,3.54410381927693,0.0,16,18,20,23,29,44,62,72,120,120,120
POST,POST /ai/chat/consumer,344,284,30000.0,21716.639244802554,844.226171990158,30057.45024199132,482.9360465116279,2.8822026331708366,2.379492871571272,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,POST /ai/chat/seller,124,112,30000.0,22293.145846950312,938.2598169904668,30040.715588023886,317.23387096774195,1.0389335073057666,0.9383915549858538,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,5054,396,15,2047.5114278506924,2.94201701763086,30057.45024199132,86275.50870597546,42.34491891873665,3.317884426557126,15,41,48,54,130,30000,30000,30000,30000,30000,30000
